,Day,Arsenal,AstonVilla,Bournemouth,Brentford,Brighton,Chelsea,CrystalPalace,Everton,Fulham,Leeds,LeicesterCity,Liverpool,ManchesterCity,ManchesterUtd,Newcastle,NottinghamForest,Southampton,Tottenham,WestHam,Wolves
270,2023-05-07,52,3,8,8,10,10,4,5,3,16,2,13,6,13,56,5,5.0,7,73,6
271,2023-05-08,10,2,4,2,39,7,2,41,35,14,28,10,7,4,10,47,27.0,5,15,5
272,2023-05-09,5,2,4,2,11,7,1,8,4,12,4,9,77,3,7,12,10.0,4,4,4
273,2023-05-10,5,2,4,1,8,7,1,3,2,11,3,8,19,3,6,4,6.0,4,4,4
274,2023-05-11,5,2,4,1,7,6,1,3,2,11,2,7,5,3,6,3,6.0,4,36,4
275,2023-05-12,5,2,4,1,8,6,2,4,2,13,1,7,4,3,7,4,6.0,5,12,5
276,2023-05-13,8,23,10,2,9,26,9,5,10,54,2,12,7,8,33,51,16.0,27,4,67
277,2023-05-14,52,4,5,20,66,11,2,82,2,15,3,10,18,6,8,9,7.0,6,20,10
278,2023-05-15,9,2,4,2,15,6,1,7,2,13,52,29,6,3,8,5,5.0,4,3,5
279,2023-05-16,4,2,4,1,8,6,1,4,1,11,17,14,11,3,7,3,5.0,4,3,5
280,2023-05-17,5,2,4,1,8,8,1,4,1,10,2,8,100,4,7,3,5.0,4,4,4
281,2023-05-18,5,2,4,1,37,6,2,3,2,11,1,8,24,4,32,3,5.0,4,34,4
282,2023-05-19,6,2,5,2,15,6,2,3,2,11,1,8,7,3,12,4,5.0,5,20,5
283,2023-05-20,39,53,67,43,10,10,10,18,14,15,3,35,11,10,8,71,6.0,44,8,19
284,2023-05-21,11,6,8,3,26,51,2,6,2,40,4,11,26,6,8,16,23.0,6,33,6
285,2023-05-22,5,2,5,1,9,11,1,4,1,13,27,7,7,4,29,5,6.0,4,5,4
286,2023-05-23,4,2,4,1,9,8,2,3,1,12,9,7,5,4,13,3,5.0,4,4,4
287,2023-05-24,4,2,4,1,55,7,1,3,1,10,2,7,13,3,7,3,5.0,4,3,4
288,2023-05-25,4,2,4,1,24,42,1,3,1,11,2,8,6,10,7,3,5.0,5,3,4
289,2023-05-26,5,2,5,1,9,18,1,3,2,12,2,8,4,5,7,3,6.0,5,3,5
290,2023-05-27,7,4,6,2,9,10,2,4,2,13,2,9,5,5,7,4,6.0,5,4,5
291,2023-05-28,20,16,17,46,19,20,8,30,44,37,23,24,12,10,22,13,45.0,22,14,33
292,2023-05-29,7,3,5,7,8,8,2,6,7,14,6,10,4,4,7,4,10.0,7,4,7
293,2023-05-30,5,2,4,2,8,7,1,3,2,12,2,8,3,4,6,3,6.0,5,3,4
294,2023-05-31,5,2,8,1,7,6,1,2,1,12,2,8,4,4,6,3,6.0,5,6,4
295,2023-06-01,5,2,20,1,7,6,1,2,1,11,1,8,4,4,6,2,5.0,5,6,4
296,2023-06-02,7,1,9,1,7,6,1,2,1,11,1,7,5,5,6,3,5.0,4,5,4
297,2023-06-03,5,2,7,1,7,7,1,2,1,11,2,8,49,37,6,3,5.0,6,5,4
298,2023-06-04,5,2,8,1,6,7,1,2,1,10,1,7,7,5,6,3,5.0,5,4,5
299,2023-06-05,5,1,6,1,7,6,1,2,1,11,1,7,4,3,6,2,5.0,5,5,4
300,2023-06-06,5,1,5,1,6,6,1,2,1,11,1,8,4,3,6,2,6.0,5,8,4
